videoId,title,channelTitle,publishedAt,year
HzH6s2_Cpeg,Pulizia calorifero facile e veloce!! #pulizie #polvere,La casa di Mattia,2024-10-23 11:20:22+00:00,2024
3J3VpNSTJks,Riuscirò ad entrare a S.Siro durante Inter-Empoli vestito da coniglio rosa?Verifichiamo #bellagianda,Bella Gianda Official,2024-03-31 15:39:11+00:00,2024
bkZeNyvXPe0,Ho capito male 🤮 #videodivertenti #ridere #videodicoppia #icecream,THOMAS BASILICO,2023-03-28 18:40:18+00:00,2023
62_wzchaX98,Idea spuntino pre workout 🍓🫐🍧,fitgreta,2024-04-17 05:52:39+00:00,2024
eNU5FcmEwTc,ChatGPT non ha aiutato...,Camihawke,2026-02-27 14:16:42+00:00,2026
k3QaVA0UleY,PROVIAMO I BLUSH SUPER VIRALI #adv #reel,Debora Fulli,2024-09-20 12:04:06+00:00,2024
lf6TQsniXAM,Si sono la vera (diffidate da chi mi ruba i video) #amici #talentshow #litigio,Sara La Rusca,2025-11-27 19:44:04+00:00,2025
Uv60Uk4ySqM,A volte bisogna toccare il fondo per risalire ✨,Alessandra Spadina,2024-12-31 16:11:37+00:00,2024
R-Zn3xAAYqw,L'occasione fa l'uomo ladro,Il Matricomio,2023-08-03 11:45:10+00:00,2023
b4t6fdYh8ak,Fatemi sapere se lo proverete 🤣🤣 #makeup #sephora #makeuptutorial,Christian Manzoni,2025-09-23 11:01:33+00:00,2025
JbJXD-EMs-g,Edipo vs Freud #shorts #psicologia #teatro #scuola #liceo #filosofia #short #psicoterapia #libri,Contenuti Zero,2022-10-28 09:00:20+00:00,2022
gs7oJh6kJcY,PSG INTER - L'attesa,Gli Autogol,2025-05-28 11:29:15+00:00,2025
3mA4U7FNS80,"Comme te vene 'ncapa 'e di' ""I love you""? ❤️",Raissa & Momo,2023-05-19 16:00:03+00:00,2023
b8SjcaneGrw,Fail,roccotnl,2022-11-03 09:06:36+00:00,2022
VEBxxBohLHo,“Molliamo tutto e trasferiamoci in campagna” #città #periferia #natura,Canale di Venti,2023-11-30 11:41:42+00:00,2023
31QvpeZBSAk,I messaggi vocali di Holly a Benji #calcio #anime #anni90 #divertente #manga #euro2024 #90snostalgia,Contenuti Zero,2024-06-14 10:15:00+00:00,2024
F9bR34COjEY,Hai mai fatto una papera quando giocavi in porta? Verifichiamo 🤙🏻⚽️ #bellagianda,Bella Gianda Official,2023-04-16 18:43:45+00:00,2023
GRgp3BScD44,Cestini di zucchine ricotta e gamberi. Ricetta nei commenti #ricette #gamberi #zucchine #food,Cotto al Dente,2023-03-28 11:15:47+00:00,2023
Df-9SmBp8NQ,Magic Bullet: dopo anni di televendite… FUNZIONA? Il test!,AlicelikeAudrey,2022-09-29 12:55:25+00:00,2022
YyyLNT63KRw,"È vero che sale,  zucchero ed acqua insieme generano la neve? Verifichiamo 🤙🏻 #bellagianda",Bella Gianda Official,2023-01-25 10:06:40+00:00,2023
Y5j4lazJzzo,Come fai a fischiare? #perte #adrianomoretti #commedia #foryou #shortsviral,Adriano Moretti,2025-09-22 19:15:02+00:00,2025
9M7Q3BynsLQ,#toniservillo #podcast #mrmarra #dariomoccia #victorlaszlo88,Mr. Marra,2024-07-19 15:44:10+00:00,2024
CWBY6thBB8M,sognando transformers😅 https://www.youtube.com/c/ParamountPicturesItalia  #TransformersIlRisveglio,ISABO,2023-05-29 13:15:35+00:00,2023
5KSFPV21FUc,Taylor Swift durante il concerto a San Siro:,Valentina Barbieri,2024-07-15 11:48:23+00:00,2024
rcBwaxcgVsg,ACETO DI FRUTTA FATTO IN CASA (questo è molto più buono del solito aceto ve lo assicuroo)🍇🫐🍓🍓,Davide Zambelli,2024-05-16 11:34:48+00:00,2024
iOCO6jLpssk,i vostri? #shorts,Smibie Channel,2023-01-02 16:02:46+00:00,2023
M_R0y1krdGI,Cose Che Sai Ma... SONO SBAGLIATE! | EP. 01,Daniele Doesn't Matter,2022-02-17 13:01:46+00:00,2022
1qa83QUV3fM,Quando ti trucchi il primo giorno di ciclo… 🫠,The Lady,2022-07-22 08:39:41+00:00,2022
