short_id,status,connection_type,connected_id,overlay_label,detection_method
80cTxK_fA_Q,connected,long,wWj-r-tCArw,"A DOMANDA RISPONDO - CONVIVENZA, RIGHELLI MOLLI E TERAPIA",overlay
AS6paOwhdR0,connected,long,wWj-r-tCArw,"A DOMANDA RISPONDO - CONVIVENZA, RIGHELLI MOLLI E TERAPIA",overlay
wPFcvFEPSSQ,connected,long,wWj-r-tCArw,"A DOMANDA RISPONDO - CONVIVENZA, RIGHELLI MOLLI E TERAPIA",overlay
0HtHNdF2AIY,connected,long,0rzbwX_CNII,TIER LIST - tema HARRY POTTER con @Caleelyt,overlay
Ut11SY8_BTE,connected,long,0rzbwX_CNII,TIER LIST - tema HARRY POTTER con @Caleelyt,overlay
911w9xOdX7g,connected,long,0rzbwX_CNII,TIER LIST - tema HARRY POTTER con @Caleelyt,overlay
hATUt0UytWU,connected,long,OOf8CLAghZ0,GAME NIGHT giochiamo a MEDIUM / con @ClaudioDiBiagio @LolloBarollo1  e @roccotnll,overlay
LdaXe_BxGv0,connected,long,OOf8CLAghZ0,GAME NIGHT giochiamo a MEDIUM / con @ClaudioDiBiagio @LolloBarollo1  e @roccotnll,overlay
7N8LhdXMVXk,connected,long,OOf8CLAghZ0,GAME NIGHT giochiamo a MEDIUM / con @ClaudioDiBiagio @LolloBarollo1  e @roccotnll,overlay
b9Cp9UfIMxM,connected,long,X5qnZAMUv7M,TIER LIST - COSE DI CUI MI FREGA MENO,overlay
_tsZLOVeSQ0,connected,long,X5qnZAMUv7M,TIER LIST - COSE DI CUI MI FREGA MENO,overlay
GZQKAf94_FE,connected,long,X5qnZAMUv7M,TIER LIST - COSE DI CUI MI FREGA MENO,overlay
E0Sh6Cle5mw,connected,long,5qIEw7on7PU,la fine di DARIO MOCCIA,overlay
tsZvN91QKrk,connected,long,5qIEw7on7PU,la fine di DARIO MOCCIA,overlay
4bDXDXVk4WQ,connected,long,5qIEw7on7PU,la fine di DARIO MOCCIA,overlay
hDC3-aZHDg8,connected,short,ry1cTWUGPfU,LA TUA GIORNATA TIPO - Commento di Meda e Vanzini,overlay
aqKnp_oH-eM,connected,long,ojhVyQ7EdR8,CI BEVIAMO L'ULTIMO con LUCA RAVENNA,overlay
NgIbdtSed5I,connected,long,itAHMppkoEY,"APPROFONDIVENTI: GIOCARE COI TABÙ, con Immanuel Casto",overlay
RWsJsvv5kxU,connected,long,itAHMppkoEY,"APPROFONDIVENTI: GIOCARE COI TABÙ, con Immanuel Casto",overlay
mIaH5o28dCw,connected,long,nMK2WNNOI_8,APPROFONDIVENTI: CHE SENSO HA LAVORARE? con FRANCESCA COIN,overlay
Py2furhznhI,connected,long,r8UpzIUGPoU,"BOH RAGA Ep.02, Dobbiamo Parlare",overlay
EXBUAZk4Jf0,connected,long,w_ZZN-PBfZs,"BOH RAGA Ep.04, Natale con chi vuoi",overlay
ZJVitbTXxaw,connected,long,huqS-zUSxwY,CI BEVIAMO L'ULTIMO con MOTTA,overlay
pG-0CyJGT1g,connected,long,huqS-zUSxwY,CI BEVIAMO L'ULTIMO con MOTTA,overlay
UPjnqrAOORw,connected,long,huqS-zUSxwY,CI BEVIAMO L'ULTIMO con MOTTA,overlay
Qt317mwJ4Ws,connected,long,w_ZZN-PBfZs,"BOH RAGA Ep.04, Natale con chi vuoi",overlay
e2-gD7hYkRA,connected,long,w_ZZN-PBfZs,"BOH RAGA Ep.04, Natale con chi vuoi",overlay
pR-YW_AJnsY,connected,long,w_ZZN-PBfZs,"BOH RAGA Ep.04, Natale con chi vuoi",overlay
YacQvYLbT58,connected,long,nMK2WNNOI_8,APPROFONDIVENTI: CHE SENSO HA LAVORARE? con FRANCESCA COIN,overlay
mrwyB-uWVfI,connected,long,nMK2WNNOI_8,APPROFONDIVENTI: CHE SENSO HA LAVORARE? con FRANCESCA COIN,overlay
scVjpHLNoUM,connected,long,nMK2WNNOI_8,APPROFONDIVENTI: CHE SENSO HA LAVORARE? con FRANCESCA COIN,overlay
1jvgp7ZPDac,connected,long,WqRxEf7okik,"BOH RAGA Ep. 03, Vivere in città o vivere in periferia?",overlay
K7xHhMxzk3A,connected,long,tCWUkTx5Kjg,APPROFONDIVENTI: PARLARE DI SESSO con GRETA TOSONI,overlay
MjieUBwhNr0,connected,long,XkyaQwT5bas,CI BEVIAMO L’ULTIMO con FUMETTIBRUTTI,overlay
w2eWuxN3QkI,connected,long,XkyaQwT5bas,CI BEVIAMO L’ULTIMO con FUMETTIBRUTTI,overlay
f4t1qvZh7PY,connected,long,WqRxEf7okik,"BOH RAGA Ep. 03, Vivere in città o vivere in periferia?",overlay
VEBxxBohLHo,connected,long,WqRxEf7okik,"BOH RAGA Ep. 03, Vivere in città o vivere in periferia?",overlay
0moRBmUyHRI,connected,long,rTUz2zSQz10,CI BEVIAMO L'ULTIMO con NAYT,overlay
qceEDKS8PQE,connected,long,rTUz2zSQz10,CI BEVIAMO L'ULTIMO con NAYT,overlay
CEriuGkoL1g,connected,long,YPfDF78VbIY,"ANGELINA MANGO parla di Amici, leggerezza e diventare adulti",overlay
8c_zZ0WQN1I,connected,long,VdTpQ2aiiGU,Basta pollo e uova: 3 proteine che non stai usando,overlay
39TfXCTxrow,connected,long,VdTpQ2aiiGU,Basta pollo e uova: 3 proteine che non stai usando,overlay
QtU53ohhwA4,connected,long,VdTpQ2aiiGU,Basta pollo e uova: 3 proteine che non stai usando,overlay
fq-qi6-CQFE,connected,long,8whGHMECIIw,Zuccheri: come mangiarli senza esagerare,overlay
LoO2rXtYxRw,connected,long,2UpNk3IFMkA,3 ricette con i ceci che non hai mai provato,overlay
DGctPUdGtfw,connected,long,8whGHMECIIw,Zuccheri: come mangiarli senza esagerare,overlay
4zk7rtDSgeU,connected,long,8whGHMECIIw,Zuccheri: come mangiarli senza esagerare,overlay
z4tkCB8M1Vc,connected,long,jo2fcz-L1so,Colazione intelligente: il metodo per mangiare bene ogni mattina,overlay
Xm6OuMLqdrA,connected,long,jo2fcz-L1so,Colazione intelligente: il metodo per mangiare bene ogni mattina,overlay
0dNMHsbMBSM,connected,long,LJAf3r2W5wM,Come risparmiare 3200€ l’anno con il pranzo da casa,overlay
ifXAS9RZToY,connected,long,LJAf3r2W5wM,Come risparmiare 3200€ l’anno con il pranzo da casa,overlay
29UQBCAdKmA,connected,long,FquhtBP_ZsI,👉 Ti alleni tanto ma non dimagrisci? Il metabolismo spiegato semplice,overlay
aXxPmyOsYL8,connected,long,RUzzCmYJt00,Hai del riso avanzato? Fai questo piatto croccante al forno,overlay
raJEckIHJKA,connected,long,LJAf3r2W5wM,Come risparmiare 3200€ l’anno con il pranzo da casa,overlay
U6da8p-M9yU,connected,long,FquhtBP_ZsI,👉 Ti alleni tanto ma non dimagrisci? Il metabolismo spiegato semplice,overlay
AqilQKgausg,connected,long,FquhtBP_ZsI,👉 Ti alleni tanto ma non dimagrisci? Il metabolismo spiegato semplice,overlay
kNqudfl3vZQ,connected,long,ZxwzQhwONUY,Cerchi di mangiare più proteine? Costruisci i piatti così,overlay
Md0WsGkp6xc,connected,long,ZxwzQhwONUY,Cerchi di mangiare più proteine? Costruisci i piatti così,overlay
k67XG8PDws4,connected,long,J7v9VMiXvdw,7 Colazioni fit e bilanciate in meno di 10 minuti! | Proteiche e veloci 🥣🍞,overlay
BTnOwRY7RDA,connected,long,xQj7Xg4Z16w,Mangia questi cibi insieme: 3 abbinamenti che migliorano i tuoi pasti,overlay
y78D7hoLFao,connected,long,_3M7D30kGQ4,3 schiscette invernali vegetariane 🥬,overlay
JGGlaEuvmoM,connected,long,9ND9c0of2RE,🎃 Zucca a dieta: sì o no? 3 ricette sane e proteiche,overlay
CgpJTFr6-lk,connected,long,xQj7Xg4Z16w,Mangia questi cibi insieme: 3 abbinamenti che migliorano i tuoi pasti,overlay
wzTcJFl7c7Q,connected,long,xQj7Xg4Z16w,Mangia questi cibi insieme: 3 abbinamenti che migliorano i tuoi pasti,overlay
cOGl3DaDo_E,connected,long,ni3RnLvJ2qg,10 Cibi che NON sapevi di poter congelare - Il video che ti salva il frigo prima di ogni viaggio,overlay
KJ6nRVfX7o8,connected,long,xyV6nHx9_HU,"Semi di Chia: Proprietà, Benefici e 3 Ricette Facilissime",overlay
5h2RqTKND3g,connected,long,ni3RnLvJ2qg,10 Cibi che NON sapevi di poter congelare - Il video che ti salva il frigo prima di ogni viaggio,overlay
jryrZztXzDo,connected,long,xyV6nHx9_HU,"Semi di Chia: Proprietà, Benefici e 3 Ricette Facilissime",overlay
LuI_6ADxu7Q,connected,long,9ND9c0of2RE,🎃 Zucca a dieta: sì o no? 3 ricette sane e proteiche,overlay
VnQGBXnz5sI,connected,long,9ND9c0of2RE,🎃 Zucca a dieta: sì o no? 3 ricette sane e proteiche,overlay
