short_id,status,connection_type,connected_id,overlay_label,detection_method
eNU5FcmEwTc,no_connection,none,,N/A,
80cTxK_fA_Q,connected,long,wWj-r-tCArw,"A DOMANDA RISPONDO - CONVIVENZA, RIGHELLI MOLLI E TERAPIA",overlay
AS6paOwhdR0,connected,long,wWj-r-tCArw,"A DOMANDA RISPONDO - CONVIVENZA, RIGHELLI MOLLI E TERAPIA",overlay
wPFcvFEPSSQ,connected,long,wWj-r-tCArw,"A DOMANDA RISPONDO - CONVIVENZA, RIGHELLI MOLLI E TERAPIA",overlay
0HtHNdF2AIY,connected,long,0rzbwX_CNII,TIER LIST - tema HARRY POTTER con @Caleelyt,overlay
Ut11SY8_BTE,connected,long,0rzbwX_CNII,TIER LIST - tema HARRY POTTER con @Caleelyt,overlay
911w9xOdX7g,connected,long,0rzbwX_CNII,TIER LIST - tema HARRY POTTER con @Caleelyt,overlay
hATUt0UytWU,connected,long,OOf8CLAghZ0,GAME NIGHT giochiamo a MEDIUM / con @ClaudioDiBiagio @LolloBarollo1  e @roccotnll,overlay
LdaXe_BxGv0,connected,long,OOf8CLAghZ0,GAME NIGHT giochiamo a MEDIUM / con @ClaudioDiBiagio @LolloBarollo1  e @roccotnll,overlay
7N8LhdXMVXk,connected,long,OOf8CLAghZ0,GAME NIGHT giochiamo a MEDIUM / con @ClaudioDiBiagio @LolloBarollo1  e @roccotnll,overlay
b9Cp9UfIMxM,connected,long,X5qnZAMUv7M,TIER LIST - COSE DI CUI MI FREGA MENO,overlay
_tsZLOVeSQ0,connected,long,X5qnZAMUv7M,TIER LIST - COSE DI CUI MI FREGA MENO,overlay
GZQKAf94_FE,connected,long,X5qnZAMUv7M,TIER LIST - COSE DI CUI MI FREGA MENO,overlay
E0Sh6Cle5mw,connected,long,5qIEw7on7PU,la fine di DARIO MOCCIA,overlay
tsZvN91QKrk,connected,long,5qIEw7on7PU,la fine di DARIO MOCCIA,overlay
4bDXDXVk4WQ,connected,long,5qIEw7on7PU,la fine di DARIO MOCCIA,overlay
h_CjQ2_Unzo,no_connection,none,,N/A,
DddBSvNe8gU,no_connection,none,,N/A,
cUHbmRkz_hs,no_connection,none,,N/A,
3HWHThpSTfM,no_connection,none,,N/A,
aERGgg2rowo,no_connection,none,,N/A,
rAb0fb8Y_ao,no_connection,none,,N/A,
wW795i30v1I,no_connection,none,,N/A,
aixn0y9rvco,no_connection,none,,N/A,
ljPptmWBcuo,no_connection,none,,N/A,
Eg_Nr1TlIV4,no_connection,none,,N/A,
LcdXTEeLOCM,no_connection,none,,N/A,
o7a6aM9y4c8,no_connection,none,,N/A,
GJ9ijuJz3wg,no_connection,none,,N/A,
Tr-DXsMpUKI,no_connection,none,,N/A,
QDB34U58RLA,no_connection,none,,N/A,
pz9l7YdSQSg,no_connection,none,,N/A,
ERGr9gwae7w,no_connection,none,,N/A,
3N6GxKSpaWU,no_connection,none,,N/A,
Z4Xg8PcjnCA,no_connection,none,,N/A,
e72ChKnjwJU,no_connection,none,,N/A,
QcBNPdGR32I,no_connection,none,,N/A,
5NZFXRfzO80,no_connection,none,,N/A,
Mv3fZecgQnE,no_connection,none,,N/A,
mkqnNIduUiI,no_connection,none,,N/A,
wQlKV40BGmw,no_connection,none,,N/A,
BaVmj2KnexI,no_connection,none,,N/A,
AoSmSz5ghSQ,no_connection,none,,N/A,
Xs6gNYeX7po,no_connection,none,,N/A,
XEqjPL4_z2g,no_connection,none,,N/A,
ef6jAKcpwcc,no_connection,none,,N/A,
KuC6RXkoiPI,no_connection,none,,N/A,
AYZUcaR1dfA,no_connection,none,,N/A,
5bIPNqmE1v4,no_connection,none,,N/A,
1yZ9kXz8hPU,no_connection,none,,N/A,
9fWNMOB3SS0,no_connection,none,,N/A,
IXQ79FacCDI,no_connection,none,,N/A,
o_-6ecCQsuY,no_connection,none,,N/A,
0ahXPuU09mQ,no_connection,none,,N/A,
gPxSQCmssOg,no_connection,none,,N/A,
hDC3-aZHDg8,connected,short,ry1cTWUGPfU,LA TUA GIORNATA TIPO - Commento di Meda e Vanzini,overlay
gs7oJh6kJcY,no_connection,none,,N/A,
jrCwEXj_4zs,no_connection,none,,N/A,
I20AoFz9Amc,no_connection,none,,N/A,
FOXdSmnKrmo,no_connection,none,,N/A,
Y_B-FV9hMTQ,no_connection,none,,N/A,
F3IupnEw-DU,no_connection,none,,N/A,
Irmta9Q4fo8,no_connection,none,,N/A,
PBYoSvgqHms,no_connection,none,,N/A,
cUk0wNgZwZg,no_connection,none,,N/A,
yzuY_m1cu6E,no_connection,none,,N/A,
g1plfS3wzao,no_connection,none,,N/A,
i_tWRnGV9Ts,no_connection,none,,N/A,
ry1cTWUGPfU,no_connection,none,,N/A,
b3FZC4HJs_E,no_connection,none,,N/A,
UApd9s2pJJg,no_connection,none,,N/A,
iLeHpb_Dbow,no_connection,none,,N/A,
BDbhyxYJvtU,no_connection,none,,N/A,
nnKc6ZbUmWk,no_connection,none,,N/A,
EUlLl1Fkq8k,no_connection,none,,N/A,
EzwgtZNSydY,no_connection,none,,N/A,
ue07Joq38Uw,no_connection,none,,N/A,
HwOzx3Qhp8c,no_connection,none,,N/A,
Rn_XT9lkwZk,no_connection,none,,N/A,
tb-5YH4kwQs,no_connection,none,,N/A,
j8guoZJ0lGk,no_connection,none,,N/A,
oQjwmJL9s6I,no_connection,none,,N/A,
jf6oMiP_68E,no_connection,none,,N/A,
-4IcW4RGY9c,no_connection,none,,N/A,
4SpGju0cNSs,no_connection,none,,N/A,
s1SMhQBhci4,no_connection,none,,N/A,
dqb1Rn5SY-A,no_connection,none,,N/A,
C1XdODsLHOU,no_connection,none,,N/A,
K0jpvNIhZPQ,no_connection,none,,N/A,
RLSRGiuqxMk,no_connection,none,,N/A,
Y0kuEwpRfS0,no_connection,none,,N/A,
6SNOPKrJcYQ,no_connection,none,,N/A,
a7Sgz5_I6cU,no_connection,none,,N/A,
A6Q9VJUOQ-c,no_connection,none,,N/A,
bVytH2H-6O4,no_connection,none,,N/A,
1f-2j-G0N8M,no_connection,none,,N/A,
7yL6CiNsqAg,no_connection,none,,N/A,
k5G2R9UGN0s,no_connection,none,,N/A,
1mt15dwlFiI,no_connection,none,,N/A,
6g6ZBpIuCAQ,no_connection,none,,N/A,
zVu5bVhO2L4,no_connection,none,,N/A,
T9TxovcyMd4,no_connection,none,,N/A,
F7YuF9CE-SM,no_connection,none,,N/A,
XPSagWO4jtw,no_connection,none,,N/A,
tMS3Ek7PECo,no_connection,none,,N/A,
0N6AS7e3-K8,no_connection,none,,N/A,
7Dze_Me0vBw,no_connection,none,,N/A,
uIURgc3O1hs,no_connection,none,,N/A,
shQVMa5Vu8I,no_connection,none,,N/A,
aqKnp_oH-eM,connected,long,ojhVyQ7EdR8,CI BEVIAMO L'ULTIMO con LUCA RAVENNA,overlay
NgIbdtSed5I,connected,long,itAHMppkoEY,"APPROFONDIVENTI: GIOCARE COI TABÙ, con Immanuel Casto",overlay
RWsJsvv5kxU,connected,long,itAHMppkoEY,"APPROFONDIVENTI: GIOCARE COI TABÙ, con Immanuel Casto",overlay
mIaH5o28dCw,connected,long,nMK2WNNOI_8,APPROFONDIVENTI: CHE SENSO HA LAVORARE? con FRANCESCA COIN,overlay
Py2furhznhI,connected,long,r8UpzIUGPoU,"BOH RAGA Ep.02, Dobbiamo Parlare",overlay
EXBUAZk4Jf0,connected,long,w_ZZN-PBfZs,"BOH RAGA Ep.04, Natale con chi vuoi",overlay
ZJVitbTXxaw,connected,long,huqS-zUSxwY,CI BEVIAMO L'ULTIMO con MOTTA,overlay
pG-0CyJGT1g,connected,long,huqS-zUSxwY,CI BEVIAMO L'ULTIMO con MOTTA,overlay
UPjnqrAOORw,connected,long,huqS-zUSxwY,CI BEVIAMO L'ULTIMO con MOTTA,overlay
Qt317mwJ4Ws,connected,long,w_ZZN-PBfZs,"BOH RAGA Ep.04, Natale con chi vuoi",overlay
e2-gD7hYkRA,connected,long,w_ZZN-PBfZs,"BOH RAGA Ep.04, Natale con chi vuoi",overlay
pR-YW_AJnsY,connected,long,w_ZZN-PBfZs,"BOH RAGA Ep.04, Natale con chi vuoi",overlay
YacQvYLbT58,connected,long,nMK2WNNOI_8,APPROFONDIVENTI: CHE SENSO HA LAVORARE? con FRANCESCA COIN,overlay
mrwyB-uWVfI,connected,long,nMK2WNNOI_8,APPROFONDIVENTI: CHE SENSO HA LAVORARE? con FRANCESCA COIN,overlay
scVjpHLNoUM,connected,long,nMK2WNNOI_8,APPROFONDIVENTI: CHE SENSO HA LAVORARE? con FRANCESCA COIN,overlay
1jvgp7ZPDac,connected,long,WqRxEf7okik,"BOH RAGA Ep. 03, Vivere in città o vivere in periferia?",overlay
K7xHhMxzk3A,connected,long,tCWUkTx5Kjg,APPROFONDIVENTI: PARLARE DI SESSO con GRETA TOSONI,overlay
MjieUBwhNr0,connected,long,XkyaQwT5bas,CI BEVIAMO L’ULTIMO con FUMETTIBRUTTI,overlay
w2eWuxN3QkI,connected,long,XkyaQwT5bas,CI BEVIAMO L’ULTIMO con FUMETTIBRUTTI,overlay
RjBAgLQblCM,no_connection,none,,N/A,
0h1Xn6xog_Q,no_connection,none,,N/A,
f4t1qvZh7PY,connected,long,WqRxEf7okik,"BOH RAGA Ep. 03, Vivere in città o vivere in periferia?",overlay
VEBxxBohLHo,connected,long,WqRxEf7okik,"BOH RAGA Ep. 03, Vivere in città o vivere in periferia?",overlay
0moRBmUyHRI,connected,long,rTUz2zSQz10,CI BEVIAMO L'ULTIMO con NAYT,overlay
cl07fvoMA1k,no_connection,none,,N/A,
qceEDKS8PQE,connected,long,rTUz2zSQz10,CI BEVIAMO L'ULTIMO con NAYT,overlay
CEriuGkoL1g,connected,long,YPfDF78VbIY,"ANGELINA MANGO parla di Amici, leggerezza e diventare adulti",overlay
9cRCKk-fNj8,no_connection,none,,N/A,
DR9v_hAGm-U,no_connection,none,,N/A,
WPwfkAYOaVE,no_connection,none,,N/A,
UnGk3vU62sc,no_connection,none,,N/A,
h38-Skzq4CM,no_connection,none,,N/A,
upnEx53Fm2s,no_connection,none,,N/A,
rY48u6OEQzQ,no_connection,none,,N/A,
wkFbEN4MVdU,no_connection,none,,N/A,
ne8IiZFXq0s,no_connection,none,,N/A,
7JNrABla1E4,no_connection,none,,N/A,
t5_gmWXPP3Q,no_connection,none,,N/A,
A4hXc67TN8w,no_connection,none,,N/A,
2xfWpyMAVRw,no_connection,none,,N/A,
CpNhpJupNsQ,no_connection,none,,N/A,
QkZjBGJ3mNc,no_connection,none,,N/A,
4zztDl_iit4,no_connection,none,,N/A,
Cl4vHYUy0uo,no_connection,none,,N/A,
FtYvMVD0KTw,no_connection,none,,N/A,
wQxQKQCR_Ps,no_connection,none,,N/A,
MwJfAXihruE,no_connection,none,,N/A,
RxG-J24s3Uw,no_connection,none,,N/A,
r_yF7q8H1IE,no_connection,none,,N/A,
6j7IShbpTRQ,no_connection,none,,N/A,
1NDHUNre1jg,no_connection,none,,N/A,
IH4ffCopG-4,no_connection,none,,N/A,
WwYrLJoUGVI,no_connection,none,,N/A,
w9A2z_lm4qU,no_connection,none,,N/A,
xJtdiDzO8Sg,no_connection,none,,N/A,
UIHMByOHkpY,no_connection,none,,N/A,
4Kp-qW0fxug,no_connection,none,,N/A,
4o7N0KdBpRE,no_connection,none,,N/A,
hZKu2bdAjGI,no_connection,none,,N/A,
9VFB6KcTqy8,no_connection,none,,N/A,
gWdQqGaVDQc,no_connection,none,,N/A,
Z1CrIZFaGkw,no_connection,none,,N/A,
BMdYDGTmwgc,no_connection,none,,N/A,
RPSO_0rshiU,no_connection,none,,N/A,
pMJd189oXvA,no_connection,none,,N/A,
hO0Dlc8wITQ,no_connection,none,,N/A,
Jmzyut_fVMI,no_connection,none,,N/A,
evOJPhFsaY8,no_connection,none,,N/A,
eQ4bUVsda3Y,no_connection,none,,N/A,
6h8dq_FF_Ro,no_connection,none,,N/A,
8c_zZ0WQN1I,connected,long,VdTpQ2aiiGU,Basta pollo e uova: 3 proteine che non stai usando,overlay
39TfXCTxrow,connected,long,VdTpQ2aiiGU,Basta pollo e uova: 3 proteine che non stai usando,overlay
QtU53ohhwA4,connected,long,VdTpQ2aiiGU,Basta pollo e uova: 3 proteine che non stai usando,overlay
fq-qi6-CQFE,connected,long,8whGHMECIIw,Zuccheri: come mangiarli senza esagerare,overlay
LoO2rXtYxRw,connected,long,2UpNk3IFMkA,3 ricette con i ceci che non hai mai provato,overlay
DGctPUdGtfw,connected,long,8whGHMECIIw,Zuccheri: come mangiarli senza esagerare,overlay
4zk7rtDSgeU,connected,long,8whGHMECIIw,Zuccheri: come mangiarli senza esagerare,overlay
z4tkCB8M1Vc,connected,long,jo2fcz-L1so,Colazione intelligente: il metodo per mangiare bene ogni mattina,overlay
Xm6OuMLqdrA,connected,long,jo2fcz-L1so,Colazione intelligente: il metodo per mangiare bene ogni mattina,overlay
0dNMHsbMBSM,connected,long,LJAf3r2W5wM,Come risparmiare 3200€ l’anno con il pranzo da casa,overlay
ifXAS9RZToY,connected,long,LJAf3r2W5wM,Come risparmiare 3200€ l’anno con il pranzo da casa,overlay
29UQBCAdKmA,connected,long,FquhtBP_ZsI,👉 Ti alleni tanto ma non dimagrisci? Il metabolismo spiegato semplice,overlay
aXxPmyOsYL8,connected,long,RUzzCmYJt00,Hai del riso avanzato? Fai questo piatto croccante al forno,overlay
