videoId,title,channelTitle,publishedAt,year
ZW0Linfanpk,LA LINFA DI BETULLA L’HAI ANCORA PROVATA??? È buonissima e fa bene perchè ti depura 🌱⚡️⚡️,Davide Zambelli,2025-03-12 16:19:46+00:00,2025
Y5j4lazJzzo,Come fai a fischiare? #perte #adrianomoretti #commedia #foryou #shortsviral,Adriano Moretti,2025-09-22 19:15:02+00:00,2025
eNU5FcmEwTc,ChatGPT non ha aiutato...,Camihawke,2026-02-27 14:16:42+00:00,2026
3dUWv3HTS60,Quante palle ci sono in questa piscina? 🔵🔴🟡🟢 🤙🏻Verifichiamo #bellagianda,Bella Gianda Official,2026-02-25 13:11:01+00:00,2026
b4t6fdYh8ak,Fatemi sapere se lo proverete 🤣🤣 #makeup #sephora #makeuptutorial,Christian Manzoni,2025-09-23 11:01:33+00:00,2025
yJjNhBzE650,Tecnica Giapponese,Il Matricomio,2026-02-22 17:00:39+00:00,2026
tDNOWjlhzXw,BELLISSIMAAAAA è di Demellier #gifted #unboxing #novità #borsa,Smibie Channel,2026-02-25 15:25:00+00:00,2026
o_-6ecCQsuY,AVERE I TIFOSI NELLA VITA DI TUTTI I GIORNI 🗣 - Parodia,Gli Autogol,2025-06-16 11:40:44+00:00,2025
88weCh62SeU,Fotocamera polaroid a 16€ da Action 😍 #action #actionfinds #haul #present #giocattoli #momlife,Alessandra Spadina,2025-12-14 13:25:47+00:00,2025
0hgWo0WO04Y,CALENDARIO SAN VALENTINO LANCÔME 🌹,The Lady,2025-01-27 17:01:37+00:00,2025
O2i8P8VaB3U,COTOLETTA DI MELANZANE| Cotto al Dente,Cotto al Dente,2025-06-20 10:00:45+00:00,2025
S-D7h6EpSJY,AIUTOOO #makeup #comedy #makeuptips,Christian Manzoni,2025-11-20 12:05:23+00:00,2025
CkFJnpIINjI,in qualche modo ne percepiamo 20 in più,Sara La Rusca,2026-01-22 12:02:14+00:00,2026
m1np3hp3wCA,L’articolo 19 della Costituzione è fondamentale e ci riguarda tutti,Raissa & Momo,2025-09-15 16:00:23+00:00,2025
mKjQ165HH0M,NOOOOO😭😭,roccotnl,2025-06-01 13:30:02+00:00,2025
PSQmX3tPifQ,Nuovo video online 🤸🏼‍♀️🛼💜 #pilates #reformer #reformeronthemat,fitgreta,2026-01-26 17:17:42+00:00,2026
SSE3NT3h4IA,Try Not to Laugh Challenge 175 🤣 #shorts #funny #viral,Daniele Doesn't Matter,2025-01-22 13:00:39+00:00,2025
bo978Itfkj4,Ho una famiglia dove la solidarietà e l’astenersi dall’essere cattivi sono principi fondamentali 💖,Alessandra Spadina,2026-02-02 12:13:03+00:00,2026
4HKCLYTr15M,La Commentanza 048 🤣 #shorts #funny #viral,Daniele Doesn't Matter,2025-10-29 13:00:17+00:00,2025
ERt80jr2-C4,il CAPITANO TUCKER interpretato da Jai Courtney in #dangerousanimals #mrmarra #podcast #ad,Mr. Marra,2025-08-16 07:32:52+00:00,2025
X2PNQZI6TZY,Mamma miaaa😭👀,ISABO,2025-08-31 15:48:13+00:00,2025
u2NXk6Qo-ww,È stato ICONico portare #tonyeffe ad #Onlyfun sul @NOVE9,THOMAS BASILICO,2025-04-25 11:21:23+00:00,2025
Czwlro21M70,AIUTATEMI DEVO SAPERLO!!,Debora Fulli,2025-01-11 15:00:19+00:00,2025
rFdFV8pb5mw,Medea #liceo #libri #scuola #thekolors #stash #grecia #euripide #sanremo #sanremo2025 #cover,Contenuti Zero,2025-02-25 12:01:50+00:00,2025
jwMQA37Ztj8,La Commentanza 080 🤣 #shorts #funny #viral,Daniele Doesn't Matter,2026-02-11 13:01:32+00:00,2026
7hz4KD2W7_8,Se Fabrizio Corona fosse stato Lady Whistledown,Valentina Barbieri,2026-02-06 13:17:44+00:00,2026
