year,published_date,short_id,short_title,short_channel,short_url,source_video_id,source_video_url,detection_method,found_in_html,found_in_description,json_saved,status
2025,2025-04-03 15:43:18+00:00,psyAKvq_ZHk,NON SO COSA FARE 🫩,roccotnl,https://www.youtube.com/shorts/psyAKvq_ZHk,,,not_found,False,False,True,no_source
2025,2025-03-03 16:11:22+00:00,M37-7JXQsA0,PROVO IL NUOVO MASCARA BENEFIT!,The Lady,https://www.youtube.com/shorts/M37-7JXQsA0,,,not_found,False,False,True,no_source
2025,2025-05-21 18:23:52+00:00,uYmmMwi4EnY,Riorganizziamo insieme la cucina 🥣🪴 Vi piace? Avete suggerimenti??,Alessandra Spadina,https://www.youtube.com/shorts/uYmmMwi4EnY,,,not_found,False,False,True,no_source
2025,2025-12-11 19:48:35+00:00,lEHNcHd5HT8,☠️☠️☠️,Sara La Rusca,https://www.youtube.com/shorts/lEHNcHd5HT8,,,not_found,False,False,True,no_source
2025,2025-08-19 19:15:00+00:00,5-mVNFaOtAY,Crisi di identitation #perte #adrianomoretti #commedia #shorts,Adriano Moretti,https://www.youtube.com/shorts/5-mVNFaOtAY,,,not_found,False,False,True,no_source
2025,2025-06-26 17:42:27+00:00,OMO7uF9JNsU,"Senza orari, senza fretta, solo noi. 🌊🏡💛 #vitadamamma #gemelli #casanuova #twinmom #familymoments",Alessandra Spadina,https://www.youtube.com/shorts/OMO7uF9JNsU,,,not_found,False,False,True,no_source
2025,2025-03-27 12:46:16+00:00,ry1cTWUGPfU,LA TUA GIORNATA TIPO - Commento di Meda e Vanzini,Gli Autogol,https://www.youtube.com/shorts/ry1cTWUGPfU,,,not_found,False,False,True,no_source
2025,2025-01-21 17:00:19+00:00,BqYDJgS2kEQ,Try Not to Laugh Challenge 174 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/BqYDJgS2kEQ,,,not_found,False,False,True,no_source
2025,2025-02-18 11:20:30+00:00,Feyc-e4UMT4,CROSTATA CRÈME BRÛLÉ 🔥 e con questa si raggiunge l’apice della bontà 💫✨✨ ricetta facile!!,Davide Zambelli,https://www.youtube.com/shorts/Feyc-e4UMT4,,,not_found,False,False,True,no_source
2025,2025-07-01 16:01:25+00:00,is4--0KUWFk,Try Not to Laugh Challenge 256 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/is4--0KUWFk,,,not_found,False,False,True,no_source
2026,2026-01-26 17:17:53+00:00,Ce4a0fok7rw,26 gennaio 2026,fitgreta,https://www.youtube.com/shorts/Ce4a0fok7rw,,,not_found,False,False,True,no_source
2026,2026-01-28 13:19:24+00:00,cezAOu2-p6U,BUONASERA 👋🏻 #tonypitony #musica #comedy #parody #ridere #funnyvideo #cantanti #hit #song #memes,THOMAS BASILICO,https://www.youtube.com/shorts/cezAOu2-p6U,,,not_found,False,False,True,no_source
2025,2025-09-19 08:47:26+00:00,L8lsOViAHTY,È iniziata la #beautyweek a milano😍👀 #makeup #kiko #gadget #makeupartist,Christian Manzoni,https://www.youtube.com/shorts/L8lsOViAHTY,,,not_found,False,False,True,no_source
2025,2025-01-22 14:28:25+00:00,benBMMCE40Q,IL VERO SEGRETO PER UNA BASE PERFETTA!,Debora Fulli,https://www.youtube.com/shorts/benBMMCE40Q,,,not_found,False,False,True,no_source
2025,2025-09-03 12:01:02+00:00,UK5D3COcM5w,La Commentanza 034 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/UK5D3COcM5w,,,not_found,False,False,True,no_source
2025,2025-09-13 16:48:31+00:00,VMsPBkVehqs,CALENDARIO DELL'AVVENTO DI ESSENCE 2025 !! #makeup #essende#lowcost #calendariodellavvento,Christian Manzoni,https://www.youtube.com/shorts/VMsPBkVehqs,,,not_found,False,False,True,no_source
2025,2025-12-04 14:31:32+00:00,2bD4Hgm_OiQ,Il kit definitivo.,Il Matricomio,https://www.youtube.com/shorts/2bD4Hgm_OiQ,,,not_found,False,False,True,no_source
2025,2025-07-02 16:28:40+00:00,FD0Oa6pqjl8,Quindi quando giocavi a calcio eri sul videogioco di FIFA? 🤙🏻 Verifichiamo #bellagianda #calcio,Bella Gianda Official,https://www.youtube.com/shorts/FD0Oa6pqjl8,,,not_found,False,False,True,no_source
2025,2025-01-13 13:48:25+00:00,JMxY3wEuJcA,ILARY - La Serie (Parodia),Valentina Barbieri,https://www.youtube.com/shorts/JMxY3wEuJcA,,,not_found,False,False,True,no_source
2025,2025-09-15 16:00:23+00:00,m1np3hp3wCA,L’articolo 19 della Costituzione è fondamentale e ci riguarda tutti,Raissa & Momo,https://www.youtube.com/shorts/m1np3hp3wCA,,,not_found,False,False,True,no_source
2025,2025-06-13 09:47:00+00:00,iUK3yVsvSYk,Se Gesù fosse come Albano #gesù #comedy #bibbia #divertente #videodivertenti #religione #albano,Contenuti Zero,https://www.youtube.com/shorts/iUK3yVsvSYk,,,not_found,False,False,True,no_source
2025,2025-07-22 21:38:42+00:00,QNsQzI0jou0,FANTASTIC 4 #review #cinema #mrmarra #podcast #marvel #recensione,Mr. Marra,https://www.youtube.com/shorts/QNsQzI0jou0,,,not_found,False,False,True,no_source
2025,2025-10-17 12:56:23+00:00,mgOU2KaiKKc,quanto ha spaccato baffo? 😂 #isabo #perte,ISABO,https://www.youtube.com/shorts/mgOU2KaiKKc,,,not_found,False,False,True,no_source
2026,2026-02-25 15:25:00+00:00,tDNOWjlhzXw,BELLISSIMAAAAA è di Demellier #gifted #unboxing #novità #borsa,Smibie Channel,https://www.youtube.com/shorts/tDNOWjlhzXw,,,not_found,False,False,True,no_source
2025,2025-10-23 10:00:00+00:00,a-3ZvqKfIWI,Le pere cotte sono un game changer| Cotto al Dente,Cotto al Dente,https://www.youtube.com/shorts/a-3ZvqKfIWI,,,not_found,False,False,True,no_source
2026,2026-01-26 16:08:23+00:00,tsZvN91QKrk,A cosa serve il collezionismo?,Camihawke,https://www.youtube.com/shorts/tsZvN91QKrk,,,not_found,False,False,True,no_source
