year,published_date,short_id,short_title,short_channel,short_url,source_video_id,source_video_url,detection_method,found_in_ytdata,found_in_description,status
2026,2026-02-28 13:03:39+00:00,h_CjQ2_Unzo,I CORI DA STADIO AL FESTIVAL ⚽️🎵,Gli Autogol,https://www.youtube.com/shorts/h_CjQ2_Unzo,,,not_found,False,False,no_source
2026,2026-02-26 13:53:52+00:00,DddBSvNe8gU,JUVE GALATASARAY 3-2 - L'errore di Zhegrova,Gli Autogol,https://www.youtube.com/shorts/DddBSvNe8gU,,,not_found,False,False,no_source
2026,2026-02-24 13:32:40+00:00,cUHbmRkz_hs,CHAMPIONS vs FESTIVAL ⚽️🎵,Gli Autogol,https://www.youtube.com/shorts/cUHbmRkz_hs,,,not_found,False,False,no_source
2026,2026-02-23 12:52:49+00:00,3HWHThpSTfM,IL CICLO DI VITA DELLA JUVE 🌱 -  Parodia,Gli Autogol,https://www.youtube.com/shorts/3HWHThpSTfM,,,not_found,False,False,no_source
2026,2026-02-21 13:00:03+00:00,aERGgg2rowo,QUANDO GIOCHIAMO TORNIAMO BAMBINI ❤️⚽️,Gli Autogol,https://www.youtube.com/shorts/aERGgg2rowo,,,not_found,False,False,no_source
2026,2026-02-19 17:32:16+00:00,rAb0fb8Y_ao,LE ITALIANE IN CHAMPIONS - Parodia,Gli Autogol,https://www.youtube.com/shorts/rAb0fb8Y_ao,,,not_found,False,False,no_source
2026,2026-02-16 17:41:58+00:00,wW795i30v1I,L’ESPULSIONE DI KALULU - La sala VAR,Gli Autogol,https://www.youtube.com/shorts/wW795i30v1I,,,not_found,False,False,no_source
2026,2026-02-15 13:17:48+00:00,aixn0y9rvco,INTER JUVE 3-2 - Parodia,Gli Autogol,https://www.youtube.com/shorts/aixn0y9rvco,,,not_found,False,False,no_source
2026,2026-02-13 13:21:06+00:00,ljPptmWBcuo,INTER JUVE - San Valentino 💘,Gli Autogol,https://www.youtube.com/shorts/ljPptmWBcuo,,,not_found,False,False,no_source
2026,2026-01-30 13:00:26+00:00,Eg_Nr1TlIV4,IL BAMBOLOTTO DI CONTE - Parodia,Gli Autogol,https://www.youtube.com/shorts/Eg_Nr1TlIV4,,,not_found,False,False,no_source
2026,2026-01-24 13:08:46+00:00,LcdXTEeLOCM,MAX 2 - Il nuovo film Disney su Allegri,Gli Autogol,https://www.youtube.com/shorts/LcdXTEeLOCM,,,not_found,False,False,no_source
2026,2026-01-19 13:08:54+00:00,o7a6aM9y4c8,LO SCUDETTO DELLA JUVE - Il Funerale,Gli Autogol,https://www.youtube.com/shorts/o7a6aM9y4c8,,,not_found,False,False,no_source
2026,2026-01-16 17:44:37+00:00,GJ9ijuJz3wg,COMO-MILAN 1-3 - Parodia,Gli Autogol,https://www.youtube.com/shorts/GJ9ijuJz3wg,,,not_found,False,False,no_source
2026,2026-01-12 12:35:49+00:00,Tr-DXsMpUKI,INTER NAPOLI 2-2 - Parodia Conte,Gli Autogol,https://www.youtube.com/shorts/Tr-DXsMpUKI,,,not_found,False,False,no_source
2026,2026-01-09 14:17:13+00:00,QDB34U58RLA,IL MONDO OGGI - Una partita a Risiko 🌍,Gli Autogol,https://www.youtube.com/shorts/QDB34U58RLA,,,not_found,False,False,no_source
2026,2026-03-01 11:00:12+00:00,8c_zZ0WQN1I,Lupini - fonte proteica spesso sottovalutata| Cotto al Dente,Cotto al Dente,https://www.youtube.com/shorts/8c_zZ0WQN1I,,,not_found,False,False,no_source
2026,2026-02-26 11:00:09+00:00,39TfXCTxrow,Non è cibo “buono” o “cattivo”| Cotto al Dente,Cotto al Dente,https://www.youtube.com/shorts/39TfXCTxrow,,,not_found,False,False,no_source
2026,2026-02-25 11:00:56+00:00,QtU53ohhwA4,Vitamina C + ferro vegetale nello stesso piatto| Cotto al Dente,Cotto al Dente,https://www.youtube.com/shorts/QtU53ohhwA4,,,not_found,False,False,no_source
2026,2026-02-20 11:01:14+00:00,fq-qi6-CQFE,Zucchero a colazione| Cotto al Dente,Cotto al Dente,https://www.youtube.com/shorts/fq-qi6-CQFE,,,not_found,False,False,no_source
2026,2026-02-18 11:00:37+00:00,LoO2rXtYxRw,CHIA PUDDING CAPPUCCINO| Cotto al Dente,Cotto al Dente,https://www.youtube.com/shorts/LoO2rXtYxRw,,,not_found,False,False,no_source
