channelId,title,description,customUrl,country,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount,topicIds,topicCategories,keywords,uploadsPlaylistId,isLinked,bannerExternalUrl,localizationsJson
UCF3eVR6iAiKYZHOXLj9Coyw,Cotto al Dente,"Benvenuti su Cotto al Dente! Qui troverete contenuti settimanali dedicati al benessere, all’alimentazione, alle ricette gustose e agli allenamenti per mantenervi attivi. Ogni lunedì e ogni due giovedì, vi aspettiamo con nuovi video per aiutarvi a vivere una vita più sana e attiva. Iscrivetevi per entrare a far parte della community e rimanere sempre aggiornati.",@cottoaldente,IT,2016-10-10T09:23:13Z,25602648,127000,FALSE,1925,"/m/0kt51,/m/019_rr,/m/027x7n,/m/02wbm","https://en.wikipedia.org/wiki/Health,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Physical_fitness,https://en.wikipedia.org/wiki/Food","healthy allenamento sport fitness ricette ""cibo sano""",UUF3eVR6iAiKYZHOXLj9Coyw,TRUE,https://yt3.googleusercontent.com/McY6I04XYKXDM_4NHdQ1nG8nhe8Bcgcz7Omemb47-ofUC8z_C5IS55gGR0qTwc5-LC2x7tRd,"{""es_ES"": {""title"": ""Cotto al Dente"", ""description"": ""\u00a1Bienvenido a mi canal! Aqu\u00ed encontrar\u00e1 muchos entrenamientos para desafiarlo y alcanzar sus objetivos de acondicionamiento f\u00edsico, \u00a1pero tambi\u00e9n muchas recetas saludables para mantenerse en forma con gusto! Comida sana y ejercicio para un estilo de vida activo y saludable \ud83d\udcaa\ud83c\udffb""}, ""en_US"": {""title"": ""Cotto al Dente"", ""description"": ""Welcome to my channel! Here you will find lots of workouts to challenge yourself and reach your fitness goals but also lots of healthy recipes to stay fit with taste! Healthy food and workout for a healthy and active lifestyle \ud83d\udcaa\ud83c\udffb""}, ""it_IT"": {""title"": ""Cotto al Dente"", ""description"": ""Benvenuti su Cotto al Dente! Qui troverete contenuti settimanali dedicati al benessere, all\u2019alimentazione, alle ricette gustose e agli allenamenti per mantenervi attivi. Ogni luned\u00ec e ogni due gioved\u00ec, vi aspettiamo con nuovi video per aiutarvi a vivere una vita pi\u00f9 sana e attiva. Iscrivetevi per entrare a far parte della community e rimanere sempre aggiornati.""}, ""zh_CN"": {""title"": ""Cotto al Dente"", ""description"": ""\u6b22\u8fce\u6765\u5230\u6211\u7684\u9891\u9053\uff01\u5728\u8fd9\u91cc\uff0c\u60a8\u4f1a\u53d1\u73b0\u8bb8\u591a\u953b\u70bc\u6765\u6311\u6218\u60a8\u5e76\u8fbe\u5230\u60a8\u7684\u5065\u8eab\u76ee\u6807\uff0c\u8fd8\u6709\u8bb8\u591a\u5065\u5eb7\u98df\u8c31\u4ee5\u4fdd\u6301\u5065\u5eb7\uff01\u5065\u5eb7\u7684\u98df\u7269\u548c\u953b\u70bc\uff0c\u8ba9\u60a8\u62e5\u6709\u5065\u5eb7\u79ef\u6781\u7684\u751f\u6d3b\u65b9\u5f0f \ud83d\udcaa\ud83c\udffb""}, ""ko_KR"": {""title"": ""Cotto al Dente"", ""description"": ""Cotto al Dente\uc5d0 \uc624\uc2e0 \uac83\uc744 \ud658\uc601\ud569\ub2c8\ub2e4! \uc5ec\uae30\uc5d0\uc11c\ub294 \uac74\uac15, \uc601\uc591, \ub9db\uc788\ub294 \ub808\uc2dc\ud53c, \uadf8\ub9ac\uace0 \ud65c\ub825\uc744 \uc720\uc9c0\ud558\ub294 \uc6b4\ub3d9\uc5d0 \uad00\ud55c \uc8fc\uac04 \ucf58\ud150\uce20\ub97c \ub9cc\ub098\ubcfc \uc218 \uc788\uc2b5\ub2c8\ub2e4. \ub9e4\uc8fc \uc6d4\uc694\uc77c\uacfc \uaca9\uc8fc \ubaa9\uc694\uc77c\uc5d0 \uc0c8\ub85c\uc6b4 \uc601\uc0c1\uc744 \ud1b5\ud574 \ub354 \uac74\uac15\ud558\uace0 \ud65c\ub3d9\uc801\uc778 \uc0b6\uc744 \uc704\ud55c \ud301\uc744 \uc804\ud574\ub4dc\ub9bd\ub2c8\ub2e4. \ucee4\ubba4\ub2c8\ud2f0\uc5d0 \uac00\uc785\ud558\uace0 \ucd5c\uc2e0 \uc18c\uc2dd\uc744 \ubc1b\uc544\ubcf4\uc138\uc694!""}, ""fr_FR"": {""title"": ""Cotto al Dente"", ""description"": ""Bienvenue! Vous trouverez ici de nombreux entra\u00eenements pour vous challenger et atteindre vos objectifs fitness mais aussi plein de recettes saines pour rester en forme avec go\u00fbt! Alimentation saine et entra\u00eenement pour un mode de vie sain et actif \ud83d\udcaa\ud83c\udffb""}, ""de_DE"": {""title"": ""Cotto al Dente"", ""description"": ""Willkommen auf meinem Kanal! Hier findest du viele Workouts, die dich herausfordern und deine Fitnessziele erreichen, aber auch viele gesunde Rezepte, um mit Geschmack fit zu bleiben! Gesundes Essen und Training f\u00fcr einen gesunden und aktiven Lebensstil \ud83d\udcaa\ud83c\udffb""}}"
UC4igI7U7YZnjATM-U4OyiQQ,Sara La Rusca,"Porterò il disagio anche qui
UNICO VERO ACCOUNT🚨
IG: imsaralarusca
Tiktok:imsaralarusca",@imsaralarusca,,2013-01-08T18:01:42Z,17278545,56300,FALSE,43,/m/019_rr,https://en.wikipedia.org/wiki/Lifestyle_(sociology),,UU4igI7U7YZnjATM-U4OyiQQ,TRUE,https://yt3.googleusercontent.com/LnGKj8lwnhV-CGzk2rCcwOJwoAwBDdGMizjhJZEJwqG8-E8J9hQuLf7dh2TGduEzAdWX63Zg,
UCJ7kRGWgBKLvkrtbrLUERfg,Alessandra Spadina,"Ciao, sono Alessandra, benvenuti sul mio canale! 
Qui troverete tante idee creative e trucchetti per rendere la vostra casa un posto bellissimo, funzionale e ordinato 🏡 Dai trucchi per l’organizzazione degli spazi ai consigli su come arredare con poco, troverai ispirazioni pratiche per ogni angolo della tua casa! 
Sono mamma di due gemelle, home stager e adoro parlare di beauty e della mia vita a 360! 💖 
Iscriviti per scoprire ogni settimana nuovi video e lasciami un commento! 

Qui i miei profili social ⬇️ 
📷 Instagram:  www.instagram.com/alessandraspadina
💌 Canale Telegram: https://t.me/alessandraspadina
⚫️ TikTok: https://www.tiktok.com/@alessandraspa...
🔵 Facebook:  www.facebook.com/alessandraspadina  
🔴 Pinterest: https://pin.it/3MSVMRYAb

EMAIL esclusiva per proposte commerciali:
alessandra.spadina@artisti.show-reel.it
",@alessandraspadina,IT,2019-07-03T16:46:37Z,14270016,19300,FALSE,321,"/m/03glg,/m/019_rr","https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Lifestyle_(sociology)","casa arredamento organizzazione pulizie pulizia ""casa nuova"" ristrutturazione spadina ""alessandra spada"" ""svuota spesa"" ordine riordinare ""essere ordinati"" ""casa pulita"" ""casa ordinata"" arredare ""home stager"" ""home staging"" mamma ""mamma di due"" ""mamma di gemelli"" gemelle youtuber influencer ""content creator"" ""home staging"" organizer elettrodomestici ""compro casa"" vlog recensioni tutorial ""tips casa"" ""home tips"" trucchetti ""home tour"" ""italy home tour"" organize clean cleaning ""casa con piscina""",UUJ7kRGWgBKLvkrtbrLUERfg,TRUE,https://yt3.googleusercontent.com/LqetgUvZvBpAL5wwCVE7noErFqsjE1FLfI5m-AYuFjf9yRN3wMxMCVkcS-uDT5WTg6UcRMhLkQ,
UCA6V3yrdI1-HWQpNHGdWY5w,La casa di Mattia,"Ciao a tutti sono Mattia!

In questo canale porterò la mia esperienza nella gestione della casa, con tanti consigli ed esempi pratici che spero vi saranno di aiuto!
Se vi piacciono i miei video e volete rimanere sempre aggiornati , iscrivetevi!!

Seguimi anche su Instagram:",@lacasadimattia,IT,2017-04-23T18:22:12Z,18726983,122000,FALSE,226,/m/019_rr,https://en.wikipedia.org/wiki/Lifestyle_(sociology),,UUA6V3yrdI1-HWQpNHGdWY5w,TRUE,https://yt3.googleusercontent.com/3lJljrtWmA7AONnzteMeomAK9lF0cMkQVsVyXC9WIMuvsMtjCdUfqJQyrKHb1_nPRO4Pix88UA,
UCwNcI3XCmT-gnS8Mz4_hlLw,Il Matricomio,"Finché TSO non ci separi.
Collab. ✉️ Ilmatricomio@artisti.show-reel.it
In elenco AGCOM",@ilmatricomio,IT,2016-08-29T22:59:52Z,11733980,40300,FALSE,193,"/m/019_rr,/m/02jjt,/m/02vxn","https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Film","""vita di coppia"" matrimonio convivenza intrattenimento coppie coppia ""marito e moglie"" convivere amore comicità",UUwNcI3XCmT-gnS8Mz4_hlLw,TRUE,https://yt3.googleusercontent.com/PRodxfrEJN_-mORJUUb-3ySMOed0-iWIQvnzn_dp_Y4hvz5z_LqdyIPfA6DJIK_exRE_MTnkaTw,
UCspw0gRDVpNC1g9pSdTaI_Q,Christian Manzoni,"Online content creator 📸
Offline makeup artist 🖌️🎨

→ BUSINESS & COLLAB:
christianmanzoni@artisti.show-reel.it",@christianmanzoni,IT,2015-06-12T10:32:45Z,12172211,18700,FALSE,179,/m/019_rr,https://en.wikipedia.org/wiki/Lifestyle_(sociology),,UUspw0gRDVpNC1g9pSdTaI_Q,TRUE,https://yt3.googleusercontent.com/c3RswC3nvf460979_zcrhdlRbsD3lMqDcPVa_T0tFmaddJPJZPeNJx5dEZofpajkcsVkCEIA8nY,
UC3fH9cEEBDFx2Z65HQ2BY2A,ISABO,NON SMETTO PIÙ FINCHÉ NON FACCIO 1 MILIONE POI PRENDO UN CAFFÈ E RICOMINCIO,@isabothegoat,IT,2018-01-09T18:37:20Z,34128889,226000,FALSE,563,"/m/04rlf,/m/0glt670,/m/02jjt","https://en.wikipedia.org/wiki/Music,https://en.wikipedia.org/wiki/Hip_hop_music,https://en.wikipedia.org/wiki/Entertainment",,UU3fH9cEEBDFx2Z65HQ2BY2A,TRUE,,
UCcH9hnbwzV5zrkuhZUeBgAw,Gli Autogol,"Trio comico Gli Autogol, parodie e imitazioni sportive!
Parodie di oltre 60  personaggi del mondo del calcio e dello sport, da Conte ad Allegri, da Moratti a Buffa e tanti altri!",@gliautogol,,2008-02-03T18:32:20Z,908124527,2150000,FALSE,753,"/m/02vxn,/m/02jjt,/m/06ntj","https://en.wikipedia.org/wiki/Film,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Sport","""gli autogol"" imitazione parodia calcio ""buffa racconta"" conte sport campionato ""video divertenti"" ""video da ridere"" ""video sportivi"" ""video comici youtube"" ""Serie A"" ""imitazioni personaggi sportivi"" calciatori allenatori juventus milan inter napoli balotelli",UUcH9hnbwzV5zrkuhZUeBgAw,TRUE,https://yt3.googleusercontent.com/mFKoLh_Cx5cZ5PxZWM4qsMDTa7LdeaWc9v4ZTxKzgFuN-WDMfaNa-X9Dwr--PPTuQCdamgnz,
UC9VCDXaxBkVvKU-piS7I_YQ,Davide Zambelli,"Davide Zambelli. Un giovane food blogger del Trentino, appassionato di cucina e di intrattenimento. 
Il mio motto è sempre stato “NON HO MAI CUCINATO IN SILENZIO”. Il silenzio è una dimensione che adoro ma i fornelli li ho sempre visti come uno spazio anche per la convivialità. 
Amo fare veramente di tutto, che siano dolci, antipasti, cocktail o primi ma sicuramente ciò che unisce tutto è la semplicità. Non amo i passaggi complicati e soprattutto adoro tutte quelle preparazioni che con poco sforzo e con un tempo piuttosto contenuto ti fanno dire “wow” una volta finite, sia quando le vedi che quando le assaggi.
Mettetemi dove volete: che sia una cucina, un prato, un tetto. L’importante è che abbia una padella e una videocamera. Sarò a mio agio così.

Iscrivetevi per supportarmi e rimarrete sempre aggiornati sui nuovi video se attiverete la campanella a fianco;).

• www.davidezambelli.com
• ✉️ davidezambelli@artisti.show-reel.it
• @davide_zamby (INSTAGRAM)
• In elenco AGCOM
",@davide_zamby,IT,2012-09-25T06:10:55Z,83893464,409000,FALSE,262,"/m/02wbm,/m/019_rr","https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)",Ricette di cucina,UU9VCDXaxBkVvKU-piS7I_YQ,TRUE,https://yt3.googleusercontent.com/nOO7ATcqaTbb14ji40_nayeq3KYmBdQZWypMNfHpbNlEEBtMAzx25GjU1Le6-ve3zWo7Hqf8,
UClESshzQp4-xGTjZTyh4zDw,roccotnl,"Può sembrare strano ma è una storia vera 🫧🧜🏽‍♂️
in elenco AGCOM",@roccotnll,,2014-02-22T12:42:25Z,1684912,19600,FALSE,88,"/m/02jjt,/m/019_rr,/m/02vxn","https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Film",,UUlESshzQp4-xGTjZTyh4zDw,TRUE,https://yt3.googleusercontent.com/Z0EQNXjzZigvojdLCMlydgq_XAbrXwsGx3Ys8a9gYQiMaxaBkxkss2wwyqqMHLu6m3jWjhCyAg,
