recency_level,frequency_level,engagement_level,rfe_profile,weight,recency_score,frequency_score,engagement_score,cluster_index,cluster_id,medoid_profile,medoid_recency_level,medoid_frequency_level,medoid_engagement_level,distance_to_medoid
Low,Medium,Medium,R=Low | F=Medium | E=Medium,5120,1,2,2,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,1
Low,High,Medium,R=Low | F=High | E=Medium,4540,1,3,2,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,0
Low,High,High,R=Low | F=High | E=High,2969,1,3,3,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,1
Low,High,Low,R=Low | F=High | E=Low,2431,1,3,1,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,1
Medium,High,Medium,R=Medium | F=High | E=Medium,1722,2,3,2,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,1
Medium,High,High,R=Medium | F=High | E=High,1191,2,3,3,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,2
Medium,High,Low,R=Medium | F=High | E=Low,1025,2,3,1,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,2
High,High,Medium,R=High | F=High | E=Medium,312,3,3,2,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,2
High,High,High,R=High | F=High | E=High,197,3,3,3,2,C1,R=Low | F=High | E=Medium,Low,High,Medium,3
Low,Low,High,R=Low | F=Low | E=High,9722,1,1,3,1,C2,R=Low | F=Low | E=High,Low,Low,High,0
Low,Medium,High,R=Low | F=Medium | E=High,3619,1,2,3,1,C2,R=Low | F=Low | E=High,Low,Low,High,1
Low,Low,Low,R=Low | F=Low | E=Low,12959,1,1,1,0,C3,R=Low | F=Low | E=Low,Low,Low,Low,0
Low,Low,Medium,R=Low | F=Low | E=Medium,10750,1,1,2,0,C3,R=Low | F=Low | E=Low,Low,Low,Low,1
Low,Medium,Low,R=Low | F=Medium | E=Low,4279,1,2,1,0,C3,R=Low | F=Low | E=Low,Low,Low,Low,1
Medium,Low,Medium,R=Medium | F=Low | E=Medium,12842,2,1,2,4,C4,R=Medium | F=Low | E=Medium,Medium,Low,Medium,0
Medium,Medium,Medium,R=Medium | F=Medium | E=Medium,4204,2,2,2,4,C4,R=Medium | F=Low | E=Medium,Medium,Low,Medium,1
Medium,Low,Low,R=Medium | F=Low | E=Low,15327,2,1,1,3,C5,R=Medium | F=Low | E=Low,Medium,Low,Low,0
Medium,Medium,Low,R=Medium | F=Medium | E=Low,3468,2,2,1,3,C5,R=Medium | F=Low | E=Low,Medium,Low,Low,1
Medium,Low,High,R=Medium | F=Low | E=High,11485,2,1,3,5,C6,R=Medium | F=Low | E=High,Medium,Low,High,0
High,Low,High,R=High | F=Low | E=High,11317,3,1,3,5,C6,R=Medium | F=Low | E=High,Medium,Low,High,1
Medium,Medium,High,R=Medium | F=Medium | E=High,2911,2,2,3,5,C6,R=Medium | F=Low | E=High,Medium,Low,High,1
High,Medium,High,R=High | F=Medium | E=High,1181,3,2,3,5,C6,R=Medium | F=Low | E=High,Medium,Low,High,2
High,Low,Medium,R=High | F=Low | E=Medium,13413,3,1,2,7,C7,R=High | F=Low | E=Medium,High,Low,Medium,0
High,Medium,Medium,R=High | F=Medium | E=Medium,1736,3,2,2,7,C7,R=High | F=Low | E=Medium,High,Low,Medium,1
High,Low,Low,R=High | F=Low | E=Low,16564,3,1,1,6,C8,R=High | F=Low | E=Low,High,Low,Low,0
High,Medium,Low,R=High | F=Medium | E=Low,1556,3,2,1,6,C8,R=High | F=Low | E=Low,High,Low,Low,1
High,High,Low,R=High | F=High | E=Low,235,3,3,1,6,C8,R=High | F=Low | E=Low,High,Low,Low,2
