era,cluster_id,display_order,display_cluster_code,cluster_label,recency_band,frequency_band,engagement_band,share_within_era,share_pct
2019,2,1,C1,C1 Recent Active Thoughtful,Low/Mid,High,Mid/High,0.1432094081942337,14.32094081942337
2019,1,2,C2,C2 Recent Light,Low,Mid,Low,0.0633535660091047,6.335356600910471
2019,3,3,C3,C3 Cooling Light,Mid,Mid,Low,0.2672610015174507,26.72610015174507
2019,6,4,C4,C4 Fading Thoughtful,Mid/High,Low/Mid,High,0.2274279210925645,22.74279210925645
2019,5,5,C5,C5 Dormant Conversational,High,Low/Mid,Mid,0.11096358118361153,11.096358118361154
2019,4,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.18778452200303491,18.77845220030349
2020,2,1,C1,C1 Recent Active Thoughtful,Low/Mid,High,Mid/High,0.1219414360208584,12.19414360208584
2020,1,2,C2,C2 Recent Light,Low,Mid,Low,0.37545126353790614,37.545126353790614
2020,3,3,C3,C3 Cooling Light,Mid,Mid,Low,0.1095066185318893,10.95066185318893
2020,6,4,C4,C4 Fading Thoughtful,Mid/High,Low/Mid,High,0.09546730846369836,9.546730846369837
2020,5,5,C5,C5 Dormant Conversational,High,Low/Mid,Mid,0.11672683513838748,11.672683513838749
2020,4,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.18090653830726033,18.090653830726033
2021,2,1,C1,C1 Recent Active Thoughtful,Low/Mid,High,Mid/High,0.2391304347826087,23.91304347826087
2021,1,2,C2,C2 Recent Light,Low,Mid,Low,0.15978260869565217,15.978260869565217
2021,3,3,C3,C3 Cooling Light,Mid,Mid,Low,0.11847826086956521,11.847826086956522
2021,6,4,C4,C4 Fading Thoughtful,Mid/High,Low/Mid,High,0.1782608695652174,17.82608695652174
2021,5,5,C5,C5 Dormant Conversational,High,Low/Mid,Mid,0.10760869565217392,10.760869565217392
2021,4,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.1967391304347826,19.67391304347826
2022,2,1,C1,C1 Recent Active Thoughtful,Low/Mid,High,Mid/High,0.21710526315789475,21.710526315789476
2022,1,2,C2,C2 Recent Light,Low,Mid,Low,0.4144736842105263,41.44736842105263
2022,3,3,C3,C3 Cooling Light,Mid,Mid,Low,0.10526315789473684,10.526315789473683
2022,6,4,C4,C4 Fading Thoughtful,Mid/High,Low/Mid,High,0.11513157894736842,11.513157894736842
2022,5,5,C5,C5 Dormant Conversational,High,Low/Mid,Mid,0.05592105263157895,5.592105263157895
2022,4,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.09210526315789473,9.210526315789473
2026,2,1,C1,C1 Recent Active Thoughtful,Low/Mid,High,Mid/High,0.15,15.0
2026,1,2,C2,C2 Recent Light,Low,Mid,Low,0.25,25.0
2026,3,3,C3,C3 Cooling Light,Mid,Mid,Low,0.175,17.5
2026,6,4,C4,C4 Fading Thoughtful,Mid/High,Low/Mid,High,0.275,27.500000000000004
2026,5,5,C5,C5 Dormant Conversational,High,Low/Mid,Mid,0.1,10.0
2026,4,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.05,5.0
