cluster_id,display_order,display_cluster_code,cluster_name,cluster_label,era,recency,frequency,engagement
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2019,0.3047766661969846,3.750993377483444,14.188254063816979
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2020,0.13355263157894734,2.5723684210526314,12.025553467000837
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2021,0.14467532467532462,2.7818181818181817,20.63151416765053
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2022,0.09090909090909088,2.6818181818181817,12.391161616161616
2,1,C1,Recent Active Thoughtful,C1 Recent Active Thoughtful,2026,0.16666666666666666,3.1666666666666665,35.25
1,2,C2,Recent Light,C2 Recent Light,2019,0.11167027646833988,2.3802395209580838,3.5736740804106075
1,2,C2,Recent Light,C2 Recent Light,2020,0.10099715099715097,2.0042735042735043,3.586658017908018
1,2,C2,Recent Light,C2 Recent Light,2021,0.10748299319727887,2.1360544217687076,3.9377551020408164
1,2,C2,Recent Light,C2 Recent Light,2022,0.04209799861973773,2.2142857142857144,3.55978835978836
1,2,C2,Recent Light,C2 Recent Light,2026,0.1,2.0,3.3
3,3,C3,Cooling Light,C3 Cooling Light,2019,0.42521480452410787,2.1163946061036194,3.7292422859846566
3,3,C3,Cooling Light,C3 Cooling Light,2020,0.41733821733821735,1.934065934065934,3.801770451770452
3,3,C3,Cooling Light,C3 Cooling Light,2021,0.38479685452162515,2.0275229357798166,4.138379204892966
3,3,C3,Cooling Light,C3 Cooling Light,2022,0.33423913043478254,1.96875,4.210069444444445
3,3,C3,Cooling Light,C3 Cooling Light,2026,0.41428571428571426,1.7142857142857142,4.142857142857143
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2019,0.5540610082870477,2.09674728940784,21.620578656817187
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2020,0.5260504201680672,1.6722689075630253,16.034313725490197
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2021,0.6270034843205574,1.920731707317073,24.378048780487806
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2022,0.5142857142857142,2.0285714285714285,16.347619047619048
6,4,C4,Fading Thoughtful,C4 Fading Thoughtful,2026,0.6136363636363636,1.6363636363636365,16.424242424242426
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2019,0.6752864157119477,2.158974358974359,5.8998514448514445
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2020,0.5828178694158075,1.6494845360824741,5.82705776468663
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2021,0.8484848484848485,1.9393939393939394,6.093939393939394
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2022,0.7033248081841431,1.8235294117647058,5.519607843137255
5,5,C5,Dormant Conversational,C5 Dormant Conversational,2026,0.6125,1.75,5.625
4,6,C6,Dormant Light,C6 Dormant Light,2019,0.6735224586288416,2.0444444444444443,2.5820847362514026
4,6,C6,Dormant Light,C6 Dormant Light,2020,0.5921655580192166,1.7161862527716185,2.639578713968958
4,6,C6,Dormant Light,C6 Dormant Light,2021,0.8756116811365431,1.988950276243094,2.63572744014733
4,6,C6,Dormant Light,C6 Dormant Light,2022,0.6956521739130436,1.7857142857142858,2.5357142857142856
4,6,C6,Dormant Light,C6 Dormant Light,2026,0.575,2.5,3.1666666666666665
