window_id,window_label,window_index,window_start,window_end,window_total_days,posts_in_window
w01,2023-01 to 2023-04,1,2023-01-01,2023-04-30,120,57
w02,2023-02 to 2023-05,2,2023-02-01,2023-05-31,120,56
w03,2023-03 to 2023-06,3,2023-03-01,2023-06-30,122,51
w04,2023-04 to 2023-07,4,2023-04-01,2023-07-31,122,52
w05,2023-05 to 2023-08,5,2023-05-01,2023-08-31,123,58
w06,2023-06 to 2023-09,6,2023-06-01,2023-09-30,122,53
w07,2023-07 to 2023-10,7,2023-07-01,2023-10-31,123,55
w08,2023-08 to 2023-11,8,2023-08-01,2023-11-30,122,48
w09,2023-09 to 2023-12,9,2023-09-01,2023-12-31,122,38
w10,2023-10 to 2024-01,10,2023-10-01,2024-01-31,123,39
w11,2023-11 to 2024-02,11,2023-11-01,2024-02-29,121,37
w12,2023-12 to 2024-03,12,2023-12-01,2024-03-31,122,39
w13,2024-01 to 2024-04,13,2024-01-01,2024-04-30,121,41
w14,2024-02 to 2024-05,14,2024-02-01,2024-05-31,121,46
w15,2024-03 to 2024-06,15,2024-03-01,2024-06-30,122,49
w16,2024-04 to 2024-07,16,2024-04-01,2024-07-31,122,50
w17,2024-05 to 2024-08,17,2024-05-01,2024-08-31,123,50
w18,2024-06 to 2024-09,18,2024-06-01,2024-09-30,122,46
w19,2024-07 to 2024-10,19,2024-07-01,2024-10-31,123,43
w20,2024-08 to 2024-11,20,2024-08-01,2024-11-30,122,40
w21,2024-09 to 2024-12,21,2024-09-01,2024-12-31,122,37
w22,2024-10 to 2025-01,22,2024-10-01,2025-01-31,123,35
w23,2024-11 to 2025-02,23,2024-11-01,2025-02-28,120,37
w24,2024-12 to 2025-03,24,2024-12-01,2025-03-31,121,41
w25,2025-01 to 2025-04,25,2025-01-01,2025-04-30,120,44
w26,2025-02 to 2025-05,26,2025-02-01,2025-05-31,120,49
w27,2025-03 to 2025-06,27,2025-03-01,2025-06-30,122,49
w28,2025-04 to 2025-07,28,2025-04-01,2025-07-31,122,51
w29,2025-05 to 2025-08,29,2025-05-01,2025-08-31,123,49
w30,2025-06 to 2025-09,30,2025-06-01,2025-09-30,122,44
w31,2025-07 to 2025-10,31,2025-07-01,2025-10-31,123,39
w32,2025-08 to 2025-11,32,2025-08-01,2025-11-30,122,34
w33,2025-09 to 2025-12,33,2025-09-01,2025-12-31,122,35
w34,2025-10 to 2026-01,34,2025-10-01,2026-01-31,123,44
w35,2025-11 to 2026-02,35,2025-11-01,2026-02-28,120,52
w36,2025-12 to 2026-03,36,2025-12-01,2026-03-31,121,54
