era,cluster_id,display_order,display_cluster_code,cluster_label,recency_band,frequency_band,engagement_band,share_within_era,share_pct
2022,2,1,C1,C1 Recent Conversational,Low,Mid,Mid/High,0.19014084507042253,19.014084507042252
2022,1,2,C2,C2 Recent Light,Low,Mid,Low,0.19014084507042253,19.014084507042252
2022,5,3,C3,C3 Fading Discursive,Mid/High,Mid,High,0.11971830985915492,11.971830985915492
2022,4,4,C4,C4 Fading Conversational,Mid/High,Mid,Mid,0.2605633802816901,26.056338028169012
2022,3,5,C5,C5 Cooling Light,Mid,Mid,Low,0.09154929577464789,9.15492957746479
2022,6,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.14788732394366197,14.788732394366196
2023,2,1,C1,C1 Recent Conversational,Low,Mid,Mid/High,0.14522821576763487,14.522821576763487
2023,1,2,C2,C2 Recent Light,Low,Mid,Low,0.0954356846473029,9.54356846473029
2023,5,3,C3,C3 Fading Discursive,Mid/High,Mid,High,0.15767634854771784,15.767634854771783
2023,4,4,C4,C4 Fading Conversational,Mid/High,Mid,Mid,0.27385892116182575,27.385892116182575
2023,3,5,C5,C5 Cooling Light,Mid,Mid,Low,0.22199170124481327,22.199170124481327
2023,6,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.10580912863070539,10.58091286307054
2024,2,1,C1,C1 Recent Conversational,Low,Mid,Mid/High,0.3467741935483871,34.67741935483871
2024,1,2,C2,C2 Recent Light,Low,Mid,Low,0.29838709677419356,29.838709677419356
2024,5,3,C3,C3 Fading Discursive,Mid/High,Mid,High,0.12096774193548387,12.096774193548388
2024,4,4,C4,C4 Fading Conversational,Mid/High,Mid,Mid,0.12096774193548387,12.096774193548388
2024,3,5,C5,C5 Cooling Light,Mid,Mid,Low,0.07258064516129033,7.258064516129033
2024,6,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.04032258064516129,4.032258064516129
2025,2,1,C1,C1 Recent Conversational,Low,Mid,Mid/High,0.10882352941176471,10.882352941176471
2025,1,2,C2,C2 Recent Light,Low,Mid,Low,0.06764705882352941,6.764705882352941
2025,5,3,C3,C3 Fading Discursive,Mid/High,Mid,High,0.16176470588235295,16.176470588235293
2025,4,4,C4,C4 Fading Conversational,Mid/High,Mid,Mid,0.2411764705882353,24.11764705882353
2025,3,5,C5,C5 Cooling Light,Mid,Mid,Low,0.2411764705882353,24.11764705882353
2025,6,6,C6,C6 Dormant Light,High,Low/Mid,Low,0.17941176470588235,17.941176470588236
