cluster_id,display_order,display_cluster_code,cluster_name,cluster_label,era,recency,frequency,engagement
2,1,C1,Recent Conversational,C1 Recent Conversational,2022,0.08888888888888884,2.8518518518518516,8.823456790123457
2,1,C1,Recent Conversational,C1 Recent Conversational,2023,0.08488372093023251,2.7142857142857144,9.415374149659865
2,1,C1,Recent Conversational,C1 Recent Conversational,2024,0.047017189079878646,1.8837209302325582,10.395348837209303
2,1,C1,Recent Conversational,C1 Recent Conversational,2025,0.05900266463646741,2.5405405405405403,12.57059202059202
1,2,C2,Recent Light,C2 Recent Light,2022,0.08080808080808076,2.259259259259259,2.740740740740741
1,2,C2,Recent Light,C2 Recent Light,2023,0.10262891809908994,2.869565217391304,3.1742753623188404
1,2,C2,Recent Light,C2 Recent Light,2024,0.06286721504112805,2.324324324324324,3.0022522522522523
1,2,C2,Recent Light,C2 Recent Light,2025,0.07225964482547453,3.1739130434782608,3.0130434782608693
5,3,C3,Fading Discursive,C3 Fading Discursive,2022,0.5112299465240642,2.0588235294117645,13.735294117647058
5,3,C3,Fading Discursive,C3 Fading Discursive,2023,0.44951040391676866,2.236842105263158,14.34703947368421
5,3,C3,Fading Discursive,C3 Fading Discursive,2024,0.40434782608695646,2.1333333333333333,14.533333333333333
5,3,C3,Fading Discursive,C3 Fading Discursive,2025,0.5083226632522407,2.272727272727273,14.743939393939394
4,4,C4,Fading Conversational,C4 Fading Conversational,2022,0.4874692874692874,2.189189189189189,7.2477477477477485
4,4,C4,Fading Conversational,C4 Fading Conversational,2023,0.4381606765327695,2.515151515151515,7.50719696969697
4,4,C4,Fading Conversational,C4 Fading Conversational,2024,0.45217391304347826,2.4,7.161111111111111
4,4,C4,Fading Conversational,C4 Fading Conversational,2025,0.45585709378220535,2.268292682926829,7.145905923344947
3,5,C5,Cooling Light,C5 Cooling Light,2022,0.3874125874125874,2.076923076923077,3.217948717948718
3,5,C5,Cooling Light,C5 Cooling Light,2023,0.3227559226255161,2.102803738317757,2.9423676012461057
3,5,C5,Cooling Light,C5 Cooling Light,2024,0.3188405797101449,2.0,3.5
3,5,C5,Cooling Light,C5 Cooling Light,2025,0.354002061147372,2.341463414634146,2.9855691056910567
6,6,C6,Dormant Light,C6 Dormant Light,2022,0.735064935064935,1.9047619047619047,3.0714285714285716
6,6,C6,Dormant Light,C6 Dormant Light,2023,0.7074783401732787,1.9215686274509804,2.7222222222222223
6,6,C6,Dormant Light,C6 Dormant Light,2024,0.7260869565217392,1.4,3.7
6,6,C6,Dormant Light,C6 Dormant Light,2025,0.6266451166012468,1.8852459016393444,2.599726775956284
